,lat,city,temp_max,humidity,wind,cloudiness,Date,country
375,11.0,dingle,84.77,72.0,11.72,96.0,1567476375.0,PH
376,62.65,khandyga,60.47,61.0,5.21,76.0,1567476530.0,RU
377,52.21,markova,60.8,100.0,6.71,90.0,1567476535.0,RU
378,-13.71,pisco,62.6,82.0,6.93,90.0,1567476310.0,PE
379,36.19,springdale,80.6,83.0,3.49,1.0,1567476546.0,US
380,18.42,road town,84.2,78.0,4.7,1.0,1567476451.0,VG
381,27.27,abnub,77.0,50.0,3.36,0.0,1567476556.0,EG
382,43.42,llanes,71.01,10.0,10.69,0.0,1567476561.0,ES
383,-14.25,port keats,81.71,54.0,9.84,0.0,1567476567.0,AU
384,-17.73,caravelas,71.63,89.0,6.87,46.0,1567476572.0,BR
385,37.57,seoul,77.0,73.0,3.36,75.0,1567476348.0,KR
386,14.9,sao filipe,80.63,86.0,12.93,74.0,1567476582.0,CV
387,59.08,palana,50.93,71.0,15.86,98.0,1567476587.0,RU
388,-12.74,vilhena,80.99,44.0,1.07,78.0,1567476593.0,BR
389,53.85,svobodnyy,48.0,96.0,4.88,0.0,1567476598.0,RU
390,5.43,naze,73.4,100.0,3.53,75.0,1567476603.0,NG
391,39.15,ukiah,82.0,47.0,4.0,0.0,1567476608.0,US
392,14.33,balibago,88.0,78.0,5.82,75.0,1567476614.0,PH
393,-16.5,gwembe,58.49,88.0,7.18,83.0,1567476619.0,ZM
394,4.14,meulaboh,81.53,76.0,1.59,100.0,1567476427.0,ID
